20210923_0/001/000;195,-1
20210923_0/005/000;
20210923_0/009/000;
20210923_0/009/001;
20210923_0/009/002;
20210923_0/010/000;
20210923_0/010/001;
20210923_0/010/002;
20210923_0/012/000;0,34
20210923_0/013/001;70,-1
20210923_0/014/000;
20210923_0/014/001;
20210923_0/019/000;0,15
20210923_0/025/000;
20210923_0/049/000;
20210924_1/022/001;
20210924_1/025/000;
20210924_1/029/001;
20210924_1/030/000;
20210924_1/033/000;
20210924_1/034/001;
20210924_1/036/004;
20210924_1/039/000;
20210924_1/041/000;
20210924_1/041/001;
20210924_1/043/000;
20210924_1/059/000;
20210927_1/003/000;
20210927_1/003/001;
20210927_1/005/000;
20210927_1/007/000;
20210927_1/007/001;
20210927_1/007/002;
20210927_1/011/001;
20210927_1/013/000;
20210927_1/015/000;
20210927_1/025/000;
20210927_1/025/001;
20210927_1/031/000;
20210927_1/031/001;
20210927_1/033/000;
20210927_1/041/000;
20210927_1/043/000;
20210927_1/043/001;
20210927_1/048/000;
20210927_1/051/000;
20210927_1/055/000;
20210927_1/055/001;
20210928_0/000/000;
20210928_0/002/000;
20210928_0/003/000;
20210928_0/005/000;
20210928_0/005/001;
20210928_0/005/002;
20210928_0/005/001;
20210928_0/007/000;
20210928_0/009/000;
20210928_0/009/001;
20210928_0/009/002;
20210928_0/010/000;
20210928_0/013/000;
20210928_0/013/001;
20210928_0/013/002;
20210928_0/013/003;
20210928_0/014/000;
20210928_0/017/000;
20210928_0/018/000;
20210928_0/021/000;
20210928_0/022/000;
20210928_0/026/000;
20210928_0/029/000;
20210928_0/031/001;
20210928_0/034/000;
20210928_0/038/000;
20210928_0/038/001;
20210928_0/038/002;
20210928_0/043/000;
20210928_0/043/001;
20210928_0/058/000;
20210928_0/059/001;
20211110_0/058/001;
20211110_0/058/002;
20211110_1/036/000;
20211110_1/045/000;
20211110_1/045/001;
20211110_1/046/000;
20211110_1/046/001;
20211110_1/057/000;
20211113_0/026/000;
20211113_0/038/000;
20211113_0/042/001;
20211113_0/056/000;
20211113_0/057/000;
20211113_1/013/000;
20211113_1/021/000;
20211113_1/021/001;
20211113_1/022/002;
20211113_1/022/003;
20211113_1/025/000;
20211113_1/025/002;
20211113_1/026/000;
20211113_1/026/001;
20211113_1/026/002;
20211113_1/029/000;
20211113_1/030/002;
20211113_1/037/000;
20211113_1/041/000;
20211113_1/043/003;
20211113_1/050/000;
20211113_1/058/000;
20211116_0/029/002;
20211116_0/032/001;
20211116_0/032/002;
20211116_0/033/000;
20211116_0/033/001;
20211116_0/033/002;
20211116_0/036/000;
20211116_0/036/001;
20211116_0/041/000;
20211116_0/057/000;
20210930_0/001/000;254,-1
20210930_0/017/000;
20210930_0/017/001;
20210930_0/017/002;
20210930_0/025/000;
20210930_0/025/001;
20210930_0/029/000;
20210930_0/029/001;
20210930_0/030/000;
20210930_0/030/001;
20210930_0/031/000;
20210930_0/031/001;
20210930_0/033/002;
20210930_0/043/000;
20210930_0/043/001;
20210930_0/059/000;
20211002_1/005/001;
20211002_1/005/002;
20211002_1/042/001;
20211002_1/057/000;
20211002_1/058/000;
20211002_1/059/000;
20211002_2/057/001;
20211002_2/058/001;
20211004_0/008/000;0,14
20211004_0/046/000;
20211004_0/057/000;
20211101_1/041/000;
20211101_1/044/000;
20211101_1/044/001;
20211101_1/045/000;
20211101_1/046/000;
20211101_1/046/001;
20211124_1/029/001;
20211124_1/057/000;
20211125_0/029/000;
20211125_1/008/000;0,21
20211125_1/012/000;0,35
20211125_1/013/000;0,43
20211125_1/014/000;
20211125_1/026/000;0,18
20211125_1/032/000;
20211125_1/032/001;
20211125_1/032/002;
20211125_1/032/003;
20211125_1/032/004;
20211125_1/034/000;
20211125_1/034/001;
20211210_0/002/000;
20211210_0/010/000;75,-1
20211210_0/014/000;
20211210_0/014/001;0,25
